employee_id,health_plan,pension,life_insurance
E0040,Premium,Enhanced,No
E0004,Plus,Enhanced,No
E0047,Plus,Opt-out,Yes
E0021,Plus,Opt-out,Yes
E0044,Plus,Std,Yes
E0097,Premium,Opt-out,No
E0068,Basic,Opt-out,Yes
E0033,Plus,Enhanced,No
E0002,Plus,Std,Yes
E0094,Basic,Opt-out,Yes
E0109,Plus,Opt-out,No
E0089,Premium,Enhanced,No
E0029,Premium,Opt-out,No
E0046,Plus,Opt-out,No
E0065,Plus,Std,No
E0066,Plus,Opt-out,No
E0011,Premium,Opt-out,Yes
E0098,Plus,Std,No
E0090,Plus,Enhanced,Yes
E0061,Plus,Opt-out,No
E0053,Plus,Opt-out,No
E0052,Basic,Opt-out,Yes
E0076,Premium,Opt-out,Yes
E0088,Premium,Enhanced,Yes
E0058,Premium,Opt-out,Yes
E0096,Premium,Std,Yes
E0039,Plus,Opt-out,No
E0118,Premium,Enhanced,No
E0026,Plus,Std,No
E0085,Basic,Opt-out,No
E0071,Premium,Std,Yes
E0055,Plus,Enhanced,Yes
E0062,Basic,Enhanced,No
E0072,Basic,Std,Yes
E0091,Basic,Enhanced,No
E0020,Premium,Opt-out,Yes
E0024,Plus,Enhanced,Yes
E0079,Basic,Enhanced,No
E0110,Premium,Enhanced,Yes
E0017,Plus,Enhanced,No
E0081,Premium,Enhanced,No
E0074,Plus,Opt-out,No
E0045,Premium,Std,Yes
E0102,Plus,Opt-out,Yes
E0070,Premium,Std,Yes
E0113,Basic,Std,No
E0015,Basic,Opt-out,No
E0003,Basic,Enhanced,No
E0112,Plus,Std,Yes
E0057,Premium,Std,No
E0025,Plus,Opt-out,No
E0048,Premium,Std,Yes
E0051,Basic,Opt-out,No
E0100,Plus,Std,No
E0056,Plus,Opt-out,No
E0038,Premium,Opt-out,No
E0010,Basic,Opt-out,No
E0031,Plus,Std,Yes
E0037,Basic,Enhanced,Yes
E0035,Plus,Enhanced,Yes
E0042,Basic,Std,Yes
E0013,Premium,Std,No
E0064,Plus,Std,No
E0049,Basic,Opt-out,No
E0028,Plus,Opt-out,Yes
E0073,Premium,Enhanced,Yes
E0050,Plus,Opt-out,No
E0105,Plus,Opt-out,No
E0083,Plus,Enhanced,Yes
E0093,Plus,Std,No
E0115,Basic,Enhanced,No
E0027,Premium,Enhanced,No
E0009,Plus,Std,Yes
E0087,Plus,Opt-out,No
E0023,Plus,Opt-out,Yes
E0107,Premium,Opt-out,No
E0080,Premium,Std,No
E0067,Premium,Opt-out,Yes
E0106,Premium,Enhanced,No
E0032,Basic,Enhanced,No
E0077,Basic,Opt-out,Yes
E0014,Premium,Enhanced,Yes
E0114,Basic,Std,Yes
E0099,Plus,Enhanced,No
E0018,Plus,Opt-out,Yes
E0054,Premium,Std,Yes
E0059,Basic,Opt-out,Yes
E0008,Basic,Std,Yes
E0005,Basic,Opt-out,No
E0034,Plus,Std,No
